source,station_name,line_name,passenger_flow,latitude,longitude
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Лианозово,Люблинско-Дмитровская линия,7841744,55.89716361,37.54393854
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Люблино,Люблинско-Дмитровская линия,20814774,55.67443252,37.76099733
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Марьина роща,Люблинско-Дмитровская линия,11686695,55.7935426,37.61586314
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Марьино,Люблинско-Дмитровская линия,14897528,55.64917238,37.74385755
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Окружная,Люблинско-Дмитровская линия,4993329,55.84714789,37.57322195
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Петровско-Разумовская,Люблинско-Дмитровская линия,9832190,55.83326172,37.57345276
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Печатники,Люблинско-Дмитровская линия,6839945,55.69285578,37.72824952
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Римская,Люблинско-Дмитровская линия,7842020,55.74645754,37.68153276
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Селигерская,Люблинско-Дмитровская линия,13733216,55.8656285,37.54815018
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Сретенский бульвар,Люблинско-Дмитровская линия,4268856,55.76630331,37.63631469
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Трубная,Люблинско-Дмитровская линия,9269753,55.76775558,37.62194484
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Физтех,Люблинско-Дмитровская линия,6444438,55.92288035,37.54697502
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Фонвизинская,Люблинско-Дмитровская линия,6501836,55.82231977,37.58913069
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Чкаловская,Люблинско-Дмитровская линия,9738816,55.75623239,37.6603805
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Шипиловская,Люблинско-Дмитровская линия,6740800,55.62037424,37.74417794
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Яхромская,Люблинско-Дмитровская линия,9774948,55.88102013,37.54520584
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Автозаводская,Московское центральное кольцо,2800654,55.70538176,37.66291432
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Андроновка,Московское центральное кольцо,3133414,55.74642226,37.73662069
https://tengri.postgrespro.ru/documentation/en/stable/_attachments/metro_exits_traffic_2025.xlsx,Балтийская,Московское центральное кольцо,5576504,55.8245471,37.49520488
