name,lat,lon,district,addr,avg_comp_rating,dist_metro,stops_cnt,c300,c1k,pop_dens,income,office_dens,avg_rent,avail_space
S-cafe,55.7356158,37.6348429,CAO,,,421.1383025985672,7,12,279,12500,110000,0,45000,342
Узоры,55.7547369,37.5681589,CAO,,,825.1182252614767,7,18,127,12500,110000,0,45000,342
Iki,55.7089322,37.6248948,CAO,,,133.5062624183562,14,49,132,12500,110000,0,45000,342
Brera,55.7572877,37.6010808,CAO,,,561.5330659240207,10,43,393,12500,110000,0,45000,342
Black Angus,55.7410249,37.6287156,CAO,,,54.76849032338581,9,61,218,12500,110000,0,45000,342
Tajiri Go,55.7540041,37.6085106,CAO,,,178.39216089581308,10,25,300,12500,110000,0,45000,342
Uchiwa,55.7540781,37.608591,CAO,,,186.38394709694856,10,26,300,12500,110000,0,45000,342
Ayu,55.7540743,37.6084569,CAO,,,186.40876684957666,10,26,303,12500,110000,0,45000,342
Привет,55.735687,37.5883558,CAO,,,184.95205465454188,17,39,147,12500,110000,1,45000,342
Привет,55.7314675,37.6276106,CAO,,,329.8494119648088,14,21,244,12500,110000,0,45000,342
Babo’s,55.7373458,37.6490253,CAO,,,326.4811194119634,15,6,215,12500,110000,1,45000,342
Кулинарная лавка братьев Караваевых,55.7295441,37.6363586,CAO,,,140.9501614857749,9,54,268,12500,110000,0,45000,342
Share,55.757523,37.6038277,CAO,,,569.4294971101089,10,37,384,12500,110000,0,45000,342
Mates bistro,55.7620851,37.5572632,CAO,,,367.79696788920086,18,19,144,12500,110000,1,45000,342
Шаурма 13/12,55.6809353,37.5669157,CAO,,,300.3907320464316,15,19,80,12500,110000,0,45000,342
Структура кофе,55.6802985,37.5647825,CAO,,,166.27861766155556,14,16,77,12500,110000,0,45000,342
Рамен по-ланьчжоуски,55.6801282,37.564613,CAO,,,144.57920207406582,14,17,78,12500,110000,0,45000,342
Семейная пекарня,55.680101,37.5645801,CAO,,,140.94853777440983,14,17,78,12500,110000,0,45000,342
Varvarka 3,55.7537414,37.626226,CAO,,,366.60160413033236,8,17,327,12500,110000,0,45000,342
The Бык,55.7270385,37.5806319,CAO,,,44.606634001152116,7,31,118,12500,110000,0,45000,342
Tre Santi,55.7550787,37.6454645,CAO,,,644.8739652343403,5,28,307,12500,110000,2,45000,342
Дадати,55.7641003,37.6155351,CAO,,,411.518095318078,11,30,480,12500,110000,1,45000,342
Jinju,55.7633167,37.6144417,CAO,,,375.0055931891674,9,37,481,12500,110000,1,45000,342
Meteorite,55.7622596,37.6354746,CAO,,,344.97203740497565,3,54,467,12500,110000,2,45000,342
Klubique,55.7727204,37.6102803,CAO,,,519.5887049718726,19,19,338,12500,110000,0,45000,342
Цензура ИН1:1,55.7697051,37.5951856,CAO,,,52.15900850430865,11,43,370,12500,110000,1,45000,342
Surf Coffee,55.7321779,37.611762,CAO,,,111.46276933525496,13,13,184,12500,110000,0,45000,342
Милти,55.7722648,37.6604569,CAO,,,111.03481925649598,18,24,230,12500,110000,2,45000,342
Много кофе,55.7546335,37.6443985,CAO,,,569.4327953675684,5,23,295,12500,110000,2,45000,342
Ti Oi,55.6975762,37.634711,CAO,,,558.6134258894255,9,17,79,12500,110000,0,45000,342
The Гарден,55.7299748,37.6427522,CAO,,,189.14420726741233,10,50,190,12500,110000,1,45000,342
Вавилон,55.6919813,37.6591046,CAO,,,371.12159530173165,8,8,36,12500,110000,0,45000,342
Додо Пицца,55.6535715,37.6248999,CAO,,,115.52896502096378,8,18,35,12500,110000,0,45000,342
Honey Coffee,55.7465299,37.599138,CAO,,,230.1627080919154,14,18,250,12500,110000,0,45000,342
Улей,55.7756132,37.5869992,CAO,,,192.4232096431364,14,65,357,12500,110000,0,45000,342
Шахрисабз,55.6826354,37.5979695,CAO,,,955.9619247527112,13,8,43,12500,110000,1,45000,342
Rимляне,55.7652732,37.6205054,CAO,,,289.6463758407383,9,38,516,12500,110000,1,45000,342
Рива,55.7113197,37.5471859,CAO,,,684.0279778427687,3,2,30,12500,110000,0,45000,342
Пан Круассан,55.7727578,37.6794644,CAO,,,46.691293277470514,16,54,161,12500,110000,2,45000,342
Locanda,55.7596647,37.5870663,CAO,,,366.2391749028683,14,23,253,12500,110000,0,45000,342
